index,cluster,formatname,Year
898,1,ChrisBosh,2005
899,1,EddyCurry,2005
900,1,FranciscoElson,2005
901,1,MelvinEly,2005
902,1,KevinGarnett,2005
903,1,PauGasol,2005
904,1,DrewGooden,2005
905,1,UdonisHaslem,2005
906,1,NeneHilario,2005
907,1,NenadKrstic,2005
908,1,AntonioMcDyess,2005
909,1,MikkiMoore,2005
910,1,TroyMurphy,2005
911,1,JermaineONeal,2005
912,1,LamarOdom,2005
913,1,MehmetOkur,2005
914,1,ZazaPachulia,2005
915,1,ZachRandolph,2005
916,1,JoeSmith,2005
917,1,JoshSmith,2005
918,1,AmareStoudemire,2005
919,1,KurtThomas,2005
920,1,AndersonVarejao,2005
921,1,DavidWest,2005
922,1,ChrisWilcox,2005
923,1,TonyBattie,2006
924,1,AndrewBogut,2006
925,1,CarlosBoozer,2006
926,1,ChrisBosh,2006
927,1,EltonBrand,2006
928,1,KwameBrown,2006
929,1,NickCollison,2006
930,1,EddyCurry,2006
931,1,IkeDiogu,2006
932,1,FranciscoElson,2006
933,1,MelvinEly,2006
934,1,ChanningFrye,2006
935,1,KevinGarnett,2006
936,1,PauGasol,2006
937,1,DrewGooden,2006
938,1,UdonisHaslem,2006
939,1,KrisHumphries,2006
940,1,AndreiKirilenko,2006
941,1,DavidLee,2006
942,1,ShawnMarion,2006
943,1,KenyonMartin,2006
944,1,AntonioMcDyess,2006
945,1,MikkiMoore,2006
